,desc,Freq
47,animals,156
116,birds,94
410,family,91
912,reading,91
571,horse,85
217,children,83
700,man,71
522,group,65
215,child,58
583,human,56
750,mother,52
395,etc,51
69,ass,48
1050,somebody,48
967,sailingboat,46
968,sailingship,46
760,mule,44
870,predatory,44
483,games,43
937,rider,43
938,riding,43
45,animal,41
572,horseman,40
109,beings,39
1267,woman,39
13,acting,38
97,beasts,34
876,prey,34
654,landscapes,33
349,doors,32
1054,songbirds,32
341,dog,31
451,flowers,31
670,life,31
91,bb,29
416,father,28
564,home,27
931,resting,27
1055,sons,25
19,adult,24
598,indians,24
1177,trees,24
369,eg,23
606,insects,23
850,plants,23
853,playing,23
490,general,22
504,going,22
765,nature,22
100,bed,21
218,childrens,21
667,leopard,21
226,church,20
428,figure,20
492,getting,19
1208,vehicle,19
194,cat,18
832,person,18
867,prayer,18
952,rodents,18
1222,walking,18
1287,young,18
115,bird,17
315,daughters,17
372,elephant,17
402,exterior,17
593,ideal,17
838,picking,17
854,plays,17
467,fourwheeled,16
567,hoofed,16
1007,ships,16
1019,sick,16
1212,village,16
184,caressing,15
214,chicken,15
275,cottage,15
473,friendship,15
580,house,15
676,lion,15
834,petting,15
353,drawn,14
588,hunting,14
766,naughty,14
794,ornamental,14
948,robin,14
786,one,13
961,ruler,13
1235,waterbirds,13
1252,whale,13
187,carrying,12
279,countryhouse,12
497,girl,12
549,hen,12
784,old,12
964,running,12
965,rural,12
1052,something,12
1102,strolling,12
1157,toddler,12
1183,trunked,12
1211,villa,12
35,american,11
77,baby,11
180,canoe,11
247,cock,11
383,enjoying,11
456,food,11
468,fowl,11
536,harvest,11
582,housing,11
918,red,11
956,rowingboat,11
963,runner,11
1221,walker,11
1288,youth,11
113,bible,10
132,book,10
321,deer,10
757,mouse,10
824,peacock,10
1002,sheep,10
18,adolescent,9
94,bear,9
106,beggar,9
158,building,9
221,christ,9
318,death,9
367,eating,9
550,herbs,9
555,hh,9
584,hummingbird,9
640,kite,9
649,labourers,9
653,landscape,9
699,mammals,9
789,open,9
803,owls,9
917,recreation,9
979,school,9
1003,shepherd,9
1046,soldier,9
1268,women,9
1290,zone,9
150,bridge,8
166,butterfly,8
283,cow,8
284,cowherd,8
409,falling,8
475,fruit,8
498,giving,8
541,head,8
552,herding,8
553,herdsman,8
554,herdswoman,8
752,motion,8
1004,shepherdess,8
1005,ship,8
1014,shorebirds,8
1035,sleeping,8
1117,swan,8
1120,swimming,8
1219,wadingbirds,8
1254,wheat,8
103,beehive,7
159,bull,7
197,cc,7
350,dove,7
401,exotic,7
421,female,7
485,garden,7
486,gardening,7
569,hoopoe,7
610,instrument,7
641,kk,7
776,nontemperate,7
798,others,7
991,selling,7
1026,sitting,7
1047,soldiers,7
1099,street,7
1158,together,7
1189,two,7
1209,versus,7
1217,visiting,7
32,alms,6
43,angels,6
82,ball,6
101,bedroom,6
111,beside,6
209,charity,6
234,class,6
236,cliff,6
245,coastal,6
264,container,6
265,contemplating,6
268,conversation,6
280,couple,6
286,cradle,6
288,crag,6
293,crib,6
317,dead,6
366,eagle,6
378,empress,6
405,fabulous,6
424,ff,6
433,fire,6
439,fisherman,6
441,fishes,6
482,game,6
500,globe,6
529,handing,6
535,harp,6
556,hiking,6
558,historical,6
720,meal,6
787,ones,6
812,paradise,6
816,parts,6
840,pie,6
842,pig,6
902,queen,6
903,rabbit,6
924,religious,6
944,river,6
953,rose,6
1080,squirrel,6
1110,sunrise,6
1116,swallow,6
1121,swinging,6
1169,training,6
1206,vase,6
1220,wagon,6
1260,wife,6
1266,wolf,6
1269,wood,6
9,accident,5
12,across,5
15,activities,5
25,agricultural,5
46,animaldrawn,5
72,attacking,5
170,cage,5
177,canal,5
206,chapel,5
228,churchyard,5
252,colossi,5
272,correction,5
347,donkey,5
363,duck,5
413,farm,5
417,fatherlove,5
427,fighting,5
444,fishing,5
453,flying,5
481,galloping,5
495,giants,5
507,good,5
533,harbour,5
586,hunted,5
595,implements,5
620,jay,5
633,killing,5
635,king,5
651,lamb,5
695,maiden,5
724,meeting,5
728,military,5
793,ornament,5
849,plant,5
882,private,5
890,public,5
898,putting,5
900,quail,5
910,rat,5
1123,symbol,5
1134,teacher,5
1146,threatening,5
1147,three,5
1234,water,5
1263,window,5
40,anchor,4
52,apiculture,4
56,archery,4
61,around,4
63,arrow,4
90,battle,4
92,beach,4
104,beekeeping,4
105,beetle,4
138,bow,4
168,cab,4
173,camel,4
183,care,4
186,carriage,4
192,castle,4
211,chase,4
232,city,4
243,coach,4
281,court,4
289,crane,4
344,domestic,4
356,dressing,4
358,drinking,4
362,drum,4
390,escape,4
434,firearms,4
469,fox,4
476,fruits,4
502,goat,4
513,grave,4
545,hearth,4
546,heaven,4
581,household,4
585,hunt,4
592,ice,4
600,industries,4
607,inside,4
627,jumping,4
639,kitchen,4
675,lily,4
687,lost,4
689,lower,4
714,material,4
729,milking,4
756,mourning,4
758,mowing,4
763,musical,4
764,name,4
779,nursing,4
780,oak,4
788,oneself,4
797,ostrich,4
813,parents,4
814,parrot,4
847,place,4
858,ploughing,4
860,poor,4
861,possibly,4
868,praying,4
895,pupil,4
908,rainbow,4
909,ram,4
911,raven,4
913,reaping,4
920,reins,4
926,representation,4
939,rifle,4
942,ripa,4
974,saving,4
989,seen,4
995,service,4
1010,shooting,4
1015,shoulders,4
1030,skill,4
1062,sowing,4
1075,sports,4
1097,stove,4
1105,study,4
1129,taking,4
1138,tending,4
1145,thistle,4
1160,tools,4
1168,train,4
1171,transporting,4
1186,turkey,4
1242,way,4
1251,well,4
1264,winter,4
1271,wooden,4
1273,woods,4
1277,world,4
1278,worship,4
1282,wren,4
39,amusing,3
60,army,3
79,backward,3
88,barrel,3
89,basket,3
135,books,3
144,brazier,3
155,bucket,3
163,burrow,3
179,cannon,3
190,cask,3
196,cattle,3
224,christs,3
235,cleaning,3
246,coat,3
270,cornet,3
287,crafts,3
298,crown,3
322,degree,3
325,den,3
326,departure,3
331,dialogue,3
335,dinner,3
342,dogs,3
352,dragonfly,3
361,drubbing,3
371,elementary,3
380,en,3
382,endangered,3
388,errands,3
396,europeans,3
398,evening,3
399,events,3
407,facing,3
419,feeding,3
420,fellow,3
431,finding,3
436,firepan,3
452,fly,3
460,forest,3
464,form,3
512,grasshopper,3
528,handicrafts,3
534,hare,3
570,horn,3
587,hunter,3
634,kindred,3
636,kingfisher,3
652,land,3
655,lark,3
658,leading,3
685,looking,3
688,lovers,3
691,lynx,3
709,marriage,3
713,master,3
735,mirror,3
751,motherlove,3
769,nest,3
778,nuns,3
782,of,3
804,ox,3
805,packanimal,3
833,persons,3
839,picture,3
841,piece,3
869,preaching,3
871,preparation,3
884,procession,3
891,pulling,3
894,punishment,3
899,qq,3
904,races,3
906,railway,3
907,rain,3
923,relationships,3
928,represented,3
954,route,3
955,rowing,3
962,runaway,3
973,sandals,3
982,sea,3
988,second,3
1009,shoes,3
1023,simple,3
1024,singing,3
1027,situations,3
1034,slavetrade,3
1036,small,3
1042,snow,3
1048,solitary,3
1051,someone,3
1065,spanking,3
1066,sparrow,3
1084,state,3
1095,storm,3
1096,story,3
1109,sun,3
1112,supper,3
1131,taming,3
1165,tower,3
1170,transport,3
1174,travelling,3
1176,tree,3
1180,trombone,3
1181,trotting,3
1182,trumpet,3
1184,tuba,3
1188,turned,3
1214,violent,3
1218,volcano,3
1225,walrus,3
1227,warming,3
1237,watering,3
1239,waters,3
1262,windmill,3
1272,woodpecker,3
1274,work,3
1275,working,3
1283,writing,3
8,accepted,2
14,action,2
16,activity,2
20,adults,2
22,africans,2
23,afternoon,2
24,age,2
28,aids,2
36,amores,2
37,amoretti,2
41,andor,2
49,annexes,2
50,antelope,2
55,arcadian,2
58,arm,2
59,arms,2
62,arrival,2
64,art,2
68,asiatic,2
70,assembly,2
71,attack,2
73,attempts,2
75,away,2
99,beauty,2
112,bestourné,2
119,blacksmith,2
120,blind,2
121,blindness,2
123,blue,2
126,boar,2
127,boat,2
130,body,2
141,boy,2
152,brush,2
157,buffalo,2
164,butcher,2
169,cabin,2
172,called,2
193,castrated,2
198,celestial,2
199,cell,2
208,charitable,2
223,christian,2
227,churches,2
237,climbing,2
238,clock,2
240,clothes,2
242,clown,2
256,comb,2
259,company,2
262,conquered,2
263,construction,2
266,contemplation,2
282,covered,2
303,cuckoo,2
305,cupids,2
312,dancing,2
316,david,2
337,displaying,2
360,drowning,2
374,else,2
381,end,2
389,eruption,2
406,face,2
418,feast,2
423,ferret,2
425,fiddle,2
430,finch,2
432,fine,2
435,fireengine,2
437,fireplace,2
442,fishhawk,2
449,flight,2
450,flock,2
466,four,2
471,friars,2
472,friends,2
474,frog,2
477,full,2
480,furniture,2
487,garland,2
488,gathering,2
489,geese,2
496,gifts,2
506,goliath,2
508,gospel,2
518,grindstone,2
520,grotesques,2
521,ground,2
525,gull,2
526,hair,2
527,hand,2
532,handwriting,2
551,herd,2
561,hog,2
566,hooded,2
568,hoop,2
573,horses,2
574,horsesleigh,2
589,hut,2
590,ibex,2
594,ii,2
599,industrial,2
613,inversus,2
615,italians,2
619,jar,2
623,journey,2
625,judges,2
626,jug,2
628,jumpingrope,2
630,kept,2
632,kill,2
643,knife,2
648,labour,2
650,lake,2
657,le,2
660,leaving,2
661,left,2
665,leisure,2
671,lighthouse,2
673,lightning,2
674,lightship,2
678,liturgy,2
680,locked,2
681,locomotion,2
682,locomotive,2
683,lodge,2
686,losing,2
690,luke,2
692,made,2
693,magistracy,2
694,magpie,2
698,male,2
701,management,2
707,marketing,2
721,means,2
723,meat,2
725,men,2
726,messenger,2
737,missionary,2
742,monde,2
746,monks,2
747,moon,2
748,mostri,2
761,mundus,2
768,neighbour,2
775,nonsport,2
781,objects,2
791,orange,2
795,ornaments,2
801,outside,2
802,outskirts,2
818,pastorals,2
825,pedlar,2
826,pelican,2
829,peoples,2
846,pipe,2
848,plague,2
857,plough,2
864,potted,2
872,present,2
874,presenting,2
878,prince,2
881,prisoner,2
883,processes,2
896,pursuing,2
897,putti,2
922,relation,2
927,representations,2
932,return,2
933,returning,2
934,reversed,2
943,ritual,2
945,road,2
947,robber,2
949,rocking,2
966,russians,2
969,sailor,2
972,samuel,2
976,scenes,2
981,scythe,2
986,seascapes,2
987,seasons,2
994,servant,2
998,sewing,2
1012,shopping,2
1013,shopwindow,2
1017,showing,2
1018,showwindow,2
1025,sisters,2
1032,slaughterman,2
1038,smith,2
1041,snakes,2
1053,sometimes,2
1060,sovereignty,2
1064,spaniards,2
1067,sparrowhawk,2
1070,spinningwheel,2
1072,spoils,2
1074,sport,2
1076,spreading,2
1079,square,2
1081,stag,2
1082,standing,2
1086,steam,2
1093,storage,2
1094,stork,2
1100,strength,2
1107,subjects,2
1119,sweeping,2
1124,symbolizing,2
1133,tea,2
1135,teaching,2
1136,temperate,2
1137,temple,2
1140,tent,2
1142,textile,2
1152,tiara,2
1153,tiger,2
1155,time,2
1156,tobacco,2
1159,tomb,2
1161,top,2
1162,topsyturvy,2
1163,tormenting,2
1167,traffic,2
1172,trap,2
1187,turks,2
1190,twowheeled,2
1191,tying,2
1193,unconsciousness,2
1199,untying,2
1200,unusual,2
1203,usually,2
1215,violin,2
1226,war,2
1231,watchdog,2
1233,watching,2
1240,waterscapes,2
1243,weapon,2
1248,wedding,2
1256,wheelbarrow,2
1261,wild,2
1265,witch,2
1270,woodcock,2
1276,works,2
1280,wreath,2
1284,wrongly,2
1286,year,2
5,ablaze,1
6,abnormal,1
7,abuse,1
10,accidents,1
11,accountant,1
17,adam,1
21,adventurer,1
26,agriculture,1
27,aid,1
29,air,1
30,airing,1
31,allegiance,1
33,ambo,1
34,america,1
38,amphibians,1
42,angel,1
44,angling,1
48,anna,1
51,apes,1
53,appearance,1
54,applied,1
57,ark,1
65,artist,1
66,arts,1
67,ascension,1
74,aviation,1
76,babel,1
78,back,1
80,bag,1
81,baker,1
83,balloon,1
84,ballthrowing,1
85,barber,1
86,barbershop,1
87,barn,1
93,beam,1
95,beard,1
96,bears,1
98,beating,1
102,bee,1
107,beggars,1
108,behaviour,1
110,bending,1
114,biology,1
117,bishop,1
118,blackbird,1
122,blood,1
124,bluebeard,1
125,bluejay,1
128,boathouse,1
129,boats,1
131,bony,1
133,bookillumination,1
134,bookkeeping,1
136,bookseller,1
137,bookshop,1
139,bowed,1
140,bowling,1
142,branch,1
143,branches,1
145,breakfast,1
146,breaking,1
147,brewer,1
148,bride,1
149,brides,1
151,brothers,1
153,brushing,1
154,bubbleblowing,1
156,buddhism,1
160,bullfight,1
161,bunch,1
162,burgomaster,1
165,butterflies,1
167,byproducts,1
171,cake,1
174,camp,1
175,campagne,1
176,campfire,1
178,canals,1
181,cape,1
182,car,1
185,carpet,1
188,cart,1
189,carving,1
191,casting,1
195,catch,1
200,cemetery,1
201,ceramics,1
202,ceremony,1
203,chair,1
204,challenging,1
205,chancel,1
207,chariot,1
210,charwoman,1
212,chasing,1
213,cheese,1
216,childhood,1
219,chivalry,1
220,chores,1
222,christchild,1
225,chronicles,1
229,circumstances,1
230,circus,1
231,citizen,1
233,civil,1
239,cloth,1
241,cloud,1
244,coast,1
248,cockatoo,1
249,coffeehouse,1
250,college,1
251,collision,1
253,coloured,1
254,colours,1
255,column,1
257,commanding,1
258,communal,1
260,conceiving,1
261,concept,1
267,contest,1
269,cook,1
271,coronation,1
273,cortege,1
274,costume,1
276,couch,1
277,counsellors,1
278,counter,1
285,crab,1
290,crash,1
291,creation,1
292,crew,1
294,crooning,1
295,crop,1
296,cross,1
297,crossing,1
299,crozier,1
300,crucifixion,1
301,crustaceans,1
302,crutches,1
304,cultivated,1
306,curfew,1
307,cut,1
308,dagger,1
309,daily,1
310,dale,1
311,damage,1
313,dandling,1
314,darkness,1
319,deathbed,1
320,deciduous,1
323,délices,1
324,demons,1
327,derived,1
328,destruction,1
329,devil,1
330,diadem,1
332,digger,1
333,diligence,1
334,diningroom,1
336,disciples,1
338,diversion,1
339,divine,1
340,doctor,1
343,dogsleigh,1
345,domesticated,1
346,domestication,1
348,door,1
351,downpour,1
354,dress,1
355,dressed,1
357,drill,1
359,drinkingvessel,1
364,dwarfs,1
365,dwelling,1
368,eclipse,1
370,elegant,1
373,elevation,1
375,emblematical,1
376,embracing,1
377,embroidering,1
379,empty,1
384,enter,1
385,entombment,1
386,epidemic,1
387,equipment,1
391,eskimo,1
392,eskimos,1
393,especially,1
394,esthers,1
397,eve,1
400,execution,1
403,eyes,1
404,fabric,1
408,factories,1
411,fan,1
412,farewell,1
414,farmers,1
415,fat,1
422,fence,1
426,field,1
429,filled,1
438,firmament,1
440,fishery,1
443,fishhook,1
445,flag,1
446,flags,1
447,flamingo,1
448,flash,1
454,foliage,1
455,fondling,1
457,fool,1
458,footman,1
459,force,1
461,forester,1
462,forgetmenot,1
463,fork,1
465,forms,1
470,freight,1
478,funeral,1
479,funeralis,1
484,garbage,1
491,genesis,1
493,geyser,1
494,ghost,1
499,glasshouse,1
501,gloves,1
503,god,1
505,golgotha,1
509,gown,1
510,grandchildren,1
511,grandparents,1
514,graveforms,1
515,gravemarkers,1
516,grilling,1
517,grinding,1
519,groom,1
523,guests,1
524,guinea,1
530,hands,1
531,handtohand,1
537,harvesting,1
538,hat,1
539,hay,1
540,haywagon,1
542,headgear,1
543,hearsecloth,1
544,hearsepall,1
547,heavenly,1
548,help,1
557,hinduism,1
559,hit,1
560,hobbies,1
562,holding,1
563,holiday,1
565,honeymoon,1
575,horsetram,1
576,hot,1
577,hothouse,1
578,hound,1
579,hour,1
591,ibis,1
596,including,1
597,indian,1
601,industry,1
602,infections,1
603,informal,1
604,inkwell,1
605,inn,1
608,insignia,1
609,instruction,1
611,instruments,1
612,intended,1
614,involved,1
616,jacobs,1
617,jail,1
618,jainism,1
621,jester,1
622,john,1
624,judge,1
629,justice,1
631,keyboard,1
637,kings,1
638,kissing,1
642,kneeling,1
644,knighthood,1
645,knitting,1
646,knocking,1
647,la,1
656,laundering,1
659,leave,1
662,leg,1
663,legal,1
664,legendary,1
666,lending,1
668,letting,1
669,library,1
672,lighting,1
677,litter,1
679,living,1
684,log,1
696,maintenance,1
697,making,1
702,manners,1
703,manservant,1
704,manual,1
705,marbles,1
706,mark,1
708,marking,1
710,married,1
711,mary,1
712,mask,1
715,materialization,1
716,matrimonium,1
717,matthew,1
718,mayor,1
719,meadow,1
722,measuringinstruments,1
727,middleeasterns,1
730,milkmaid,1
731,miller,1
732,mills,1
733,mind,1
734,miniaturepainting,1
736,mischiefmaking,1
738,mitre,1
739,mittens,1
740,mm,1
741,molluscs,1
743,moneybox,1
744,moneychest,1
745,monkeys,1
749,moth,1
753,motorship,1
754,mountains,1
755,mounts,1
759,muff,1
762,music,1
767,naval,1
770,net,1
771,nightingale,1
772,ninth,1
773,nobility,1
774,nonnarrative,1
777,nosegay,1
783,oillamp,1
785,omnibus,1
790,openair,1
792,organ,1
796,osprey,1
799,outdoor,1
800,outing,1
806,packanimals,1
807,paddlewheel,1
808,painting,1
809,pair,1
810,paling,1
811,pannus,1
815,partridge,1
817,passenger,1
819,pastry,1
820,pasture,1
821,path,1
822,pathway,1
823,patriciate,1
827,pen,1
828,penalty,1
830,performance,1
831,permission,1
835,pheasant,1
836,philosophers,1
837,physician,1
843,pigeon,1
844,piglet,1
845,pinwheel,1
851,play,1
852,playground,1
855,pleading,1
856,pleasure,1
859,politics,1
862,pot,1
863,potatoes,1
865,poultry,1
866,power,1
873,presentation,1
875,press,1
877,priest,1
879,printing,1
880,prison,1
885,products,1
886,propelled,1
887,proportions,1
888,proposal,1
889,protestant,1
892,pulpit,1
893,pump,1
901,quasinude,1
905,racket,1
914,rebec,1
915,receiving,1
916,reception,1
919,refused,1
921,rejected,1
925,repair,1
929,requesting,1
930,rescuing,1
935,rhinoceros,1
936,rickshaw,1
940,right,1
941,rights,1
946,roasting,1
950,rockinghorse,1
951,rocky,1
957,rubbish,1
958,rucksack,1
959,rug,1
960,ruin,1
970,saluting,1
971,salvaging,1
975,scales,1
977,sceptre,1
978,scholars,1
980,scorpions,1
983,seaman,1
984,searching,1
985,seascape,1
990,selfprotection,1
992,sent,1
993,sermon,1
996,settee,1
997,setting,1
999,sex,1
1000,sharpening,1
1001,shed,1
1006,shipdock,1
1008,shipyard,1
1011,shop,1
1016,shower,1
1020,sickbed,1
1021,signalling,1
1022,simeon,1
1028,sixth,1
1029,size,1
1031,slate,1
1033,slave,1
1037,smew,1
1039,smithblacksmith,1
1040,snail,1
1043,socks,1
1044,sofa,1
1045,solar,1
1049,solomon,1
1056,sorcerer,1
1057,sorceress,1
1058,sorrows,1
1059,south,1
1061,sow,1
1063,spade,1
1068,special,1
1069,spiders,1
1071,spirit,1
1073,spoon,1
1077,spring,1
1078,spying,1
1083,starlinghouse,1
1085,station,1
1087,steamsailer,1
1088,steamship,1
1089,stick,1
1090,still,1
1091,stilts,1
1092,stockings,1
1098,stratagem,1
1101,string,1
1103,structures,1
1104,studiolo,1
1106,stylized,1
1108,suckling,1
1111,sunset,1
1113,surprise,1
1114,surrealia,1
1115,surrealistic,1
1118,swearing,1
1122,sychar,1
1125,symbols,1
1126,table,1
1127,tailless,1
1128,taken,1
1130,tamed,1
1132,tart,1
1139,tendrils,1
1141,tents,1
1143,theft,1
1144,thin,1
1148,throne,1
1149,throwing,1
1150,thrush,1
1151,thunderbolt,1
1154,tightropewalker,1
1164,toucan,1
1166,toys,1
1173,traveller,1
1175,treasurechest,1
1178,trip,1
1179,triumphal,1
1185,tunnel,1
1192,types,1
1194,underground,1
1195,undetermined,1
1196,undressed,1
1197,unicorn,1
1198,university,1
1201,used,1
1202,using,1
1204,valley,1
1205,variant,1
1207,vegetables,1
1210,victim,1
1213,viol,1
1216,violinlike,1
1223,wall,1
1224,wallpaper,1
1228,washing,1
1229,wasp,1
1230,watch,1
1232,watchfire,1
1236,waterfall,1
1238,watermill,1
1241,waving,1
1244,weapons,1
1245,weasel,1
1246,weaving,1
1247,weavingloom,1
1249,weddingdress,1
1250,welcomed,1
1253,whaling,1
1255,wheel,1
1257,whip,1
1258,whirling,1
1259,widow,1
1279,wounds,1
1281,wreck,1
1285,xenophon,1
1289,zebra,1
