,Description,Freq
611,reading  somebody,48
655,sailingship sailingboat,46
627,riding  horse ass  mule rider horseman,39
47,animals acting  human beings,38
88,birds,37
608,reading,37
621,resting bb   doors,23
387,horse,21
228,dog,20
499,mother  children woman  children family group,20
771,trees,20
274,family life  home,17
577,prayer  going  bed   getting ,16
131,cat,15
321,friendship  man  animal caressing petting,15
32,adult man,14
282,father  children man  children family group,14
503,mother  sons family group,13
733,strolling,12
318,fowl cock hen chicken etc,11
616,red indians american indians,11
644,rowingboat canoe etc,11
652,rural housing eg countryhouse villa cottage,11
674,ships  general,11
156,childrens games  plays,10
453,leopard beasts  prey predatory animals leopard,10
81,beggar,9
258,enjoying nature animals,9
538,owls,9
672,sheep,9
199,cow,8
303,flowers,8
375,herding herdsman herdswoman shepherd shepherdess cowherd etc,8
498,mother  baby  young child,8
554,picking flowers,8
21, soldier  soldiers life,7
34,adult woman,7
79,beehive,7
113,bull,7
125,carrying something,7
333,gardening,7
445,landscapes   nontemperate zone exotic landscapes kk ideal landscapes,7
500,mother  daughters family group,7
667,selling,7
774,trunked animals elephant,7
46,animals,6
78,bedroom,6
86,bird hunting,6
150,child playing  animals,6
164,church exterior,6
174,coastal cliff  crag,6
200,cradle crib,6
285,father  sons family group,6
317,fourwheeled vehicle drawn  two animals,6
341,giving alms   charity eg handing  food,6
365,harp,6
457,lion beasts  prey predatory animals lion,6
556,pie,6
562,plants  general,6
600,queen empress etc wife   ruler,6
686,sitting figure,6
738,sunrise,6
746,swinging childrens game,6
792,visiting  sick sick person together  others,6
804,walking hiking recreation,6
825,whale swimming mammals whale,6
15, good child versus  naughty child,5
30,adolescent young woman maiden,5
55,ass donkey,5
107,bridge  village across river canal etc,5
143,child  home aa girl,5
144,child  nature games  plays,5
184,contemplating nature,5
189,correction  naughty children,5
248,eating,5
251,elephant trunked animals elephant,5
267,falling,5
284,father  sons  daughters fatherlove,5
295,fisherman,5
297,fishes,5
315,fourwheeled vehicle drawn    three animals,5
329,galloping horse,5
331,garden,5
338,giants colossi,5
343,globe,5
363,harbour,5
401,hunted animal attacking man,5
433,king,5
549,peacock ornamental birds peacock,5
555,picking fruit,5
634,robin songbirds robin,5
638,rodents mouse,5
19, poor,4
49,animals threatening man,4
68,bear beasts  prey predatory animals bear,4
80,beekeeping apiculture,4
84,bible,4
85,bird   cage,4
166,churchyard around church,4
191,cottage,4
221,deer hoofed animals deer,4
244,drum musical instrument,4
300,fishing sports,4
308,flying  kite,4
314,fourwheeled animaldrawn vehicle eg cab carriage coach,4
345,goat,4
396,human figure  open window seen  inside,4
406,hunting chase,4
415,insects,4
417,insects beetle,4
443,lamb,4
463,lower plants,4
489,milking,4
506,mourning  dead,4
514,nursing tending  sick,4
516,old man,4
517,old woman,4
522,one person praying,4
546,parts  ships exterior anchor,4
565,playing   woods,4
572,ploughing,4
604,rainbow,4
605,ram,4
641,rodents squirrel,4
678,shooting  bow  arrow archery games  skill,4
707,sowing,4
742,swan waterbirds swan,4
753,teacher  pupil,4
769,transporting harvest,4
772,trees oak,4
784,village,4
802,walking  dog,4
2,  beside  water   beach,3
4, bible   book,3
6, birds dove,3
8, birds hummingbird,3
52,army en route,3
59,ball games childrens games,3
87,bird of paradise ornamental birds bird  paradise,3
106,bridge,3
116,butterfly insects butterfly,3
126,carrying something   head    shoulders,3
130,castle,3
132,cat  mouse,3
133,cattle,3
186,conversation dialogue conversation piece,3
196,couple  lovers,3
247,eagle predatory birds eagle,3
249,eating  drinking,3
250,elementary school class form,3
263,evening meal dinner supper,3
265,exterior representation   building,3
275,family meal,3
304,flowers   vase,3
340,girl child  toddler  youth,3
349,going  school,3
384,hoopoe  birds hoopoe,3
398,hummingbird  birds hummingbird,3
420,insects fly,3
430,jumping games,3
435,kitchen,3
450,leading  horse   reins rider beside  horse,3
467,man  animal,3
482,meeting,3
513,nuns,3
539,ox,3
540,packanimal,3
557,pig,3
569,playing toddler child amusing ,3
581,preparation  food,3
602,railway train,3
609,reading  bible   religious books,3
610,reading  picture book,3
626,riding  animal   horse ass  mule,3
643,rowing facing backward pulling,3
650,running,3
683,simple running games,3
688,slavetrade,3
690,sleeping  bed,3
709,spanking drubbing  naughty children,3
741,swallow songbirds swallow,3
768,training  dogs,3
773,trotting horse  motion,3
786,village street,3
800,walking,3
805,walking horse  motion,3
809,warming oneself   fire  hearth stove firepan brazier,3
817,watering plants,3
823,well,3
826,wheat plants  herbs wheat,3
836,wolf beasts  prey predatory animals wolf,3
839,wooden container barrel cask bucket,3
846,youth adolescent,3
16, kill hunting,2
27,accident  horse  kindred animal,2
28,activities  angels  heaven,2
44,animal killing man,2
48,animals nest den burrow,2
64,battle,2
74,beasts  prey predatory animals lion,2
77,bed,2
90,blind blindness,2
96,book,2
101,boy child  toddler  youth,2
110,buffalo hoofed animals  name,2
111,building  ship ship  construction,2
115,butcher slaughterman,2
118,camel hoofed animals camel,2
135,charitable works,2
139,chicken house,2
140,chicken house feeding animal,2
142,child  home,2
152,child running errands aa girl,2
155,children singing,2
172,clock,2
173,clown,2
175,coat  arms  symbol   state etc,2
179,comb brush   tools care   hair aa women,2
182,container made  plant material   wood basket,2
198,covered wagon hooded wagon,2
201,crane shorebirds  wadingbirds crane,2
205,crown symbol  sovereignty,2
210,cupids amores amoretti putti,2
217,death  human ,2
235,dove  birds dove,2
245,duck waterbirds duck,2
260,eruption  volcano,2
261,escape escape attempts,2
268,falling   tree,2
272,family life,2
277,farm  solitary house  landscape,2
283,father  daughters family group,2
290,fighting,2
292,finding  dead person,2
294,fireengine,2
302,flight running away pursuing,2
305,flowers ornament,2
306,flowers rose,2
310,forest wood hh ideal landscapes,2
323,fruit harvest,2
326,fruits orange,2
327,full moon,2
328,furniture  storage,2
332,garden vase,2
334,garland wreath,2
336,geese domestic waterbirds,2
337,getting lost  lost ones way losing ones way,2
339,gifts  accepted,2
342,giving food,2
348,going  church,2
362,handwriting writing  activity,2
374,herd flock,2
379,historical events  situations historical persons,2
380,hog castrated male pig,2
382,hoofed animals deer,2
385,horn trumpet cornet trombone tuba,2
390,horsesleigh,2
403,hunter displaying  presenting  spoils   hunt,2
407,hut cabin lodge,2
418,insects butterfly,2
427,jay songbirds blue jay,2
432,jumpingrope games,2
442,lake hh ideal landscapes,2
451,leaving  church  service,2
454,lighthouse lightship,2
456,lily flowers lily,2
459,locomotion  snow  ice nonsport,2
465,magistracy judges,2
472,marketing shopping household management,2
483,meeting assembly,2
497,monks friars,2
501,mother  daughters motherlove,2
507,mouse trap,2
510,mundus inversus  reversed world  topsyturvy world le monde bestourné,2
511,neighbour,2
532,ornaments art,2
533,ostrich walker  runner birds ostrich,2
544,parrot ornamental birds parrot,2
545,parts  church exterior  annexes chapel qq small church chapel,2
548,pastorals arcadian scenes,2
550,pedlar,2
560,pipe tobacco,2
563,plants  herbs wheat,2
575,potted plants,2
578,preaching  general,2
580,predatory birds kite ff fabulous animals,2
583,prince,2
586,prisoner  cell  locked place,2
588,private soldier,2
589,private worship  religious study,2
592,public worship  liturgy   christian churches,2
595,punishment  school,2
596,putting   action  killing,2
599,quail walker  runner birds quail,2
601,rabbit rodents rabbit,2
606,rat rodents rat,2
618,relation  master  servant,2
629,rifle firearms rifle,2
633,robber,2
635,rocking  baby,2
639,rodents rabbit,2
642,rose flowers rose,2
646,ruler   subjects,2
656,sailor,2
659,saving  endangered fellow man,2
660,saving  person  drowning,2
670,sewing,2
679,shopwindow showwindow,2
680,shorebirds  wadingbirds,2
684,sisters second degree family relationships,2
689,sleeping   ground bb   doors,2
692,sleeping unconsciousness bb   doors,2
693,smith blacksmith,2
695,snakes,2
696,songbirds,2
698,songbirds finch,2
701,songbirds raven,2
702,songbirds robin,2
703,songbirds robin ff fabulous animals,2
713,spinningwheel,2
715,spreading  gospel missionary work,2
722,steam locomotive,2
728,storm  sea,2
729,story  david  goliath  samuel ,2
731,street,2
736,sun  celestial body,2
751,taming  training  animals,2
755,tent,2
758,thistle plants  herbs thistle,2
764,toddler aa girl,2
766,tormenting animals sport  recreation,2
767,tower  house  building,2
777,twowheeled vehicle drawn  one animal,2
785,village square place,2
789,violent death  weapon,2
799,walker  runner birds turkey,2
808,war,2
812,watchdog dog watching,2
813,waterbirds,2
827,wheelbarrow,2
831,windmill,2
833,winter landscape landscape symbolizing winter  four seasons   year,2
843,working class labourers aa women,2
844,wren songbirds wren,2
845,young versus old age young  old,2
1,   playing,1
3, animals enter  ark,1
5, birds,1
7, birds hoopoe,1
9, birds kingfisher,1
10, birds woodpecker,1
11, childrens games,1
12, citizen   rights,1
13, crucifixion  christ christs death   cross golgotha matthew  mark  luke  john ,1
14, fire ablaze,1
17, leisure time activities variant,1
18, naughty child,1
20, refused  proposal rejected,1
22, surprise attack stratagem naval force,1
23, tower  babel,1
24, wedding feast esthers feast,1
25, welcomed travelling,1
26,accident  animaldrawn vehicle,1
29,adam  eve holding  possibly eating  fruit,1
31,adult christ together  others nonnarrative representations,1
33,adult man two persons,1
35,adventurer,1
36,africans,1
37,afternoon tea,1
38,afternoon tea cc   doors,1
39,agricultural implements spade,1
40,agricultural products  byproducts hay labourers crafts industries agriculture,1
41,angels,1
42,angels singing making music,1
43,angling fishhook,1
45,animal mounts packanimals,1
50,antelope hoofed animals antelope,1
51,arm  arm friends,1
53,arrival  company station military service,1
54,arrival  return travelling,1
56,baker women labourers,1
57,ball games,1
58,ball games   ball  hit  racket  hand,1
60,balloon aviation,1
61,ballthrowing,1
62,barber barbershop,1
63,barn,1
65,battle fighting  general,1
66,beach,1
67,beam log  wood,1
69,beard,1
70,bears circus performance,1
71,beasts  prey predatory animals bear,1
72,beasts  prey predatory animals fox,1
73,beasts  prey predatory animals leopard,1
75,beasts  prey predatory animals lynx,1
76,beasts  prey predatory animals weasel,1
82,beggars procession,1
83,bending figure,1
89,birds nest den burrow,1
91,bluebeard,1
92,boar hoofed animals boar,1
93,boat propelled  man  animal,1
94,boathouse shed,1
95,bony fishes,1
97,book mm book open,1
98,bookkeeping accountant,1
99,bookshop bookseller,1
100,bowling  hoop,1
102,breakfast,1
103,breaking something household accident,1
104,brewer,1
105,bride  groom  weddingdress,1
108,brothers second degree family relationships,1
109,bubbleblowing childrens games  plays,1
112,building activities,1
114,bullfight,1
117,cake tart pastry,1
119,campfire watchfire,1
120,canals waters  village,1
121,cannon firearms cannon,1
122,care  clothes eg brushing beating airing,1
123,carpet rug,1
124,carrying  person  ones back,1
127,carrying something  basket bag rucksack etc,1
128,carving applied arts,1
129,casting weapons,1
134,chariot triumphal car,1
136,charwoman cleaning woman,1
137,chasing  playing,1
138,cheese,1
141,child,1
145,child  plant games  plays,1
146,child  rain,1
147,child  toddler  youth,1
148,child  toddler  youth  undetermined sex,1
149,child labour aa women,1
151,child running errands,1
153,child teaching teacher parents   adults,1
154,childhood sorrows,1
157,christ  adult,1
158,christ  heavenly judge,1
159,christ  prayer,1
160,christ preaching  teaching  general,1
161,christ resting  jacobs well   sent  disciples  sychar,1
162,christ taken    cloud ascension,1
163,christs entombment possibly  angels,1
165,church exterior qq small church chapel,1
167,churchyard cemetery,1
168,civil marriage ceremony,1
169,cleaning  house,1
170,climbing,1
171,climbing   tree,1
176,coat cape,1
177,coloured races  south america,1
178,column marking grave,1
180,communal life,1
181,container  ceramics jar jug pot vase,1
183,contemplating  firmament,1
185,contest games,1
187,cook,1
188,coronation procession,1
190,cortege funeral procession,1
192,couch sofa settee,1
193,counter shop,1
194,countryhouse,1
195,couple   priest marriage,1
197,court jester court fool,1
202,creation   animals genesis,1
203,crew ship,1
204,crossing  river,1
206,crustaceans crab,1
207,crutches,1
208,cuckoo  birds cuckoo,1
209,cultivated land hh ideal landscapes,1
211,curfew,1
212,cut flowers nosegay bunch  flowers,1
213,daily life  court,1
214,dale valley,1
215,damage   ship,1
216,darkness   sixth   ninth hour represented   solar eclipse christs death,1
218,death penalty execution,1
219,deathbed,1
220,deciduous forest,1
222,departure  honeymoon,1
223,departure travelling,1
224,destruction  conquered city,1
225,diadem tiara,1
226,diligence omnibus horsetram,1
227,diningroom,1
229,dog blood hound,1
230,dog eskimo dog,1
231,dog hare indian dog,1
232,dogsleigh,1
233,domestic animals kept   outside  house,1
234,domestic birds kept outside  house,1
236,downpour rain shower,1
237,dragonfly insects dragonfly,1
238,dress gown,1
239,dressing oneself getting dressed aa female human figure,1
240,dressing someone else,1
241,dressing someone else aa female human figure,1
242,drill military training,1
243,drinking,1
246,dwarfs,1
252,embracing   kissing,1
253,embroidering textile industry,1
254,empty bird cage,1
255,end fine ripa,1
256,end fine ripa emblematical representation  concept,1
257,enjoying nature,1
259,enjoying nature plants herbs  flowers,1
262,eskimos,1
264,exterior,1
266,factories  mills  landscape,1
269,falling aa female human figure,1
270,family   ruler  court,1
271,family group especially parents   children,1
273,family life   circumstances   home   holiday,1
276,fan,1
278,farm  solitary house  landscape ii ideal landscapes,1
279,farm wagon freight wagon cart,1
280,farmers,1
281,fat  thin human types,1
286,feeding wild animals,1
287,fence wall paling,1
288,ferret beasts  prey predatory animals ferret man  animal,1
289,field filled   crop,1
291,fighting horses,1
293,firearms cannon,1
296,fisherman showing catch,1
298,fishhawk predatory birds fishhawk osprey,1
299,fishing net,1
301,flag colours  symbol   state etc,1
307,flying     aid  animals,1
309,foliage tendrils branches ornament aa stylized,1
311,forester,1
312,forgetmenot flowers  name,1
313,fork,1
316,fourwheeled vehicle drawn  one animal,1
319,fox beasts  prey predatory animals fox ff fabulous animals sometimes wrongly called grotesques mostri ripa,1
320,friends,1
322,frog tailless amphibians frog,1
324,fruits  vegetables ornament,1
325,fruits branch stick,1
330,games using special objects marbles top hoop etc,1
335,gathering herbs,1
344,gloves mittens etc,1
346,god  father represented  human  usually  crown  tiara  sceptre andor globe,1
347,going   ice playing children cc adults snow  ice,1
350,grandparents  grandchildren family group,1
351,grasshopper insects grasshopper,1
352,grave digger,1
353,grave tomb,1
354,grave tomb   graveforms  gravemarkers,1
355,grindstone tools aids implements crafts  industries grindstone,1
356,group  scholars  philosophers,1
357,gull shorebirds  wadingbirds gull,1
358,handicrafts hobbies leisure time activities,1
359,handicrafts maintenance  repair,1
360,handicrafts plant material men labourers,1
361,handtohand fighting battle,1
364,hare rodents hare,1
366,harvest,1
367,haywagon,1
368,head turned   left,1
369,head turned   left aa female human figure,1
370,head turned   right,1
371,headgear hat,1
372,hearsecloth hearsepall pannus funeralis,1
373,help   endangered fellow man,1
376,hh,1
377,historical costume,1
378,historical events  situations,1
381,hoofed animals,1
383,hoofed animals rhinoceros,1
386,horn trumpet cornet trombone tuba cc   doors,1
388,horse  motion,1
389,horses  kindred animals,1
391,hot spring geyser,1
392,hothouse glasshouse,1
393,household chores,1
394,human beings legendary    abnormal proportions size strength etc,1
395,human figure  open window,1
397,human strength traffic  transport  land accident collision crash traffic  transport,1
399,hunt mammals,1
400,hunt predatory animals fox lion,1
402,hunter,1
404,hunting accidents,1
405,hunting butterflies,1
408,ibex hoofed animals ibex,1
409,indians asiatic races  peoples indians,1
410,industrial structures,1
411,industries wood,1
412,infections  wounds,1
413,inkwell,1
414,inn coffeehouse public house etc,1
416,insects bee ff fabulous animals sometimes wrongly called grotesques mostri ripa,1
419,insects dragonfly,1
421,insects grasshopper,1
422,insects moth,1
423,insects wasp,1
424,insignia  bishop eg mitre crozier,1
425,italians europeans italians,1
426,jar jug used  drinkingvessel,1
428,jay songbirds bluejay,1
429,journey  heaven pathway  heaven,1
431,jumping horse  motion,1
434,kingfisher  birds kingfisher,1
436,kite predatory birds kite,1
437,kneeling figure,1
438,knitting,1
439,knocking   door,1
440,labour,1
441,labourers returning home,1
444,landscapes,1
446,landscapes  waters waterscapes seascapes   temperate zone,1
447,landscapes  waters waterscapes seascapes   temperate zone hh ideal landscapes,1
448,lark songbirds lark,1
449,laundering,1
452,lending letting,1
455,lightning flash  lightning thunderbolt,1
458,litter rubbish garbage street sweeping,1
460,looking   hand   eyes,1
461,looking   mirror possibly contemplation   beauty,1
462,looking   mirror possibly contemplation   beauty aa  women,1
464,lynx beasts  prey predatory animals lynx,1
466,magpie songbirds magpie,1
468,man  wild animal,1
469,man killing animal,1
470,manservant footman,1
471,manual signalling  flags,1
473,marriage married couple matrimonium,1
474,mary conceiving christ  angel  present angels,1
475,mask,1
476,master slave,1
477,materialization appearance  spirit  ghost,1
478,mayor burgomaster,1
479,meadow pasture,1
480,measuringinstruments,1
481,meat still life  meat,1
484,messenger,1
485,middleeasterns africans  name,1
486,military attack,1
487,military camp  tents,1
488,military selfprotection,1
490,milkmaid,1
491,miller,1
492,mirror aa  women,1
493,mischiefmaking play,1
494,molluscs snail,1
495,moneychest treasurechest moneybox,1
496,monkeys apes,1
502,mother  sons  daughters motherlove,1
504,mother playing  baby fondling dandling crooning,1
505,mountains hh ideal landscapes,1
508,muff,1
509,mule,1
512,nobility  patriciate chivalry knighthood,1
515,oillamp,1
518,one pair dancing man  woman dancing   couple,1
519,one person playing  instrument,1
520,one person playing keyboard instrument,1
521,one person playing string instrument bowed cc   doors,1
523,open fire fireplace stove  kitchen,1
524,open hearth fireplace,1
525,openair recreation,1
526,organ,1
527,ornament derived  plant forms,1
528,ornamental birds,1
529,ornamental birds cockatoo,1
530,ornamental birds flamingo,1
531,ornamental birds toucan,1
534,outdoor gathering délices à la campagne,1
535,outing pleasure trip,1
536,outskirts  city ii ideal city,1
537,outskirts  village,1
541,paddlewheel boat,1
542,painting including bookillumination miniaturepainting,1
543,parents   children,1
547,passenger train,1
551,pelican waterbirds pelican,1
552,pen,1
553,physician doctor,1
558,pigeon  messenger,1
559,piglet suckling pig,1
561,plague aa plague epidemic,1
564,playground equipment,1
566,playing  boats,1
567,playing  top,1
568,playing  toys water,1
570,pleading,1
571,plough agricultural implements plough,1
573,politics,1
574,potatoes,1
576,poultry farm,1
579,predatory birds kite,1
582,presentation   christchild   temple usually simeon  anna present luke ,1
584,printing press,1
585,prison jail,1
587,private religious instruction,1
590,public prayer,1
591,public punishment death  intended  involved,1
593,pulpit ambo chancel,1
594,pump,1
597,putting  tying  taking  untying sandals  shoes,1
598,putting  tying  taking  untying sandals  shoes aa female human figure,1
603,rain,1
607,raven songbirds raven,1
612,reaping picking mowing harvest,1
613,reaping picking mowing harvest harvesting agricultural processes,1
614,reaping picking mowing harvest men labourers,1
615,reaping picking mowing harvest women labourers,1
617,reins,1
619,requesting  brides parents permission,1
620,rescuing  victim  informal justice,1
622,resting bb   doors biology · human  · mind · resting,1
623,return  runaway child,1
624,returning home  school,1
625,rickshaw,1
628,riding  horse ass  mule rider horseman ,1
630,ritual objects  ritual means hinduism buddhism jainism,1
631,road path,1
632,roasting grilling,1
636,rockinghorse,1
637,rocky coast,1
640,rodents rat,1
645,ruin   dwelling house castle etc,1
647,ruler  counsellors,1
648,ruler commanding,1
649,runaway child,1
651,running games children,1
653,rural life,1
654,russians europeans russians,1
657,saluting,1
658,salvaging  wreck,1
661,scales,1
662,scorpions,1
663,scythe agricultural implements scythe,1
664,sea seascape,1
665,seaman,1
666,searching  finding  runaway child,1
668,sermon protestant service,1
669,setting  fire  conquered city,1
671,sharpening grinding industrial processes,1
673,shepherd  sheep  lamb   shoulders,1
675,ships  general cc   one ship,1
676,shipyard shipdock cc   one ship,1
677,shoes sandals dressing putting  clothes,1
681,shorebirds  wadingbirds ibis,1
682,sickbed,1
685,sitting   elevation,1
687,slate writing material,1
691,sleeping  chair,1
694,smithblacksmith,1
697,songbirds blackbird,1
699,songbirds lark,1
700,songbirds nightingale,1
704,songbirds sparrow,1
705,songbirds thrush,1
706,sow,1
708,spaniards europeans spaniards,1
710,sparrow songbirds sparrow,1
711,sparrowhawk predatory birds sparrowhawk,1
712,spiders,1
714,spoon,1
716,spying  someone,1
717,squirrel rodents squirrel,1
718,stag hoofed animals stag,1
719,standing   head    hands,1
720,standing figure aa female human figure,1
721,starlinghouse,1
723,steamsailer,1
724,steamship motorship,1
725,stockings socks,1
726,stork shorebirds  wadingbirds stork,1
727,storm  land,1
730,story  xenophon,1
732,street lighting,1
734,study  diversion,1
735,study studiolo library,1
737,sun represented  face wheel etc,1
739,sunset,1
740,surrealia surrealistic representations,1
743,swearing allegiance   ruler,1
744,sweeping cleaning  house,1
745,swimming mammals walrus,1
747,symbols divine nature,1
748,table,1
749,taking care  children,1
750,taking leave,1
752,taming domestication  animals tamed  domesticated animal,1
754,temple  solomon  kings   chronicles ,1
756,textile fabric cloth,1
757,theft abuse  legal power,1
759,threatening behaviour challenging,1
760,throne bb female ruler,1
761,throwing games,1
762,tiger beasts  prey predatory animals tiger,1
763,tightropewalker,1
765,tools aids implements crafts  industries knife,1
770,traveller resting   open air,1
775,turkey walker  runner birds turkey,1
776,turks asiatic races  peoples turks,1
778,underground road tunnel,1
779,unicorn,1
780,university building college,1
781,unusual manners  living,1
782,unusual means  transport,1
783,villa,1
787,viol rebec violinlike instruments,1
788,violent death  dagger knife,1
790,violin fiddle,1
791,violin fiddle cc   doors artist  work,1
793,visiting receiving guests elegant company,1
794,volcano,1
795,walker  runner birds guinea hen,1
796,walker  runner birds partridge,1
797,walker  runner birds pheasant,1
798,walker  runner birds quail,1
801,walking   water,1
803,walking  stilts,1
806,wallpaper,1
807,walrus swimming mammals walrus,1
810,washing ones face  head,1
811,watch,1
814,waterbirds duck,1
815,waterbirds smew,1
816,waterfall hh ideal landscapes,1
818,watermill,1
819,waving farewell departure   journey,1
820,weaving,1
821,weavingloom,1
822,wedding reception,1
824,whale fishery whaling,1
828,whip,1
829,whirling games pinwheel,1
830,widow,1
832,windmill  landscape,1
834,witch sorcerer   devil andor demons,1
835,witch sorceress,1
837,woman showing  undressed quasinude,1
838,woodcock shorebirds  wadingbirds woodcock,1
840,wooden leg,1
841,woodpecker  birds woodpecker,1
842,working class labourers,1
847,youth young man adolescent,1
848,zebra,1
